Commodity,Edge,Flow,New Capacity,Switched,Changed Capacity
Methane,"('DZ', 'ES')",0.0,0.0,1.0,123041.5
Methane,"('RS', 'BA')",9469.790436157109,2907.0904361571093,1.0,6562.7
Methane,"('AL', 'IT')",0.0,0.0,1.0,177791.5
Methane,"('FR', 'ES')",0.0,0.0,1.0,60068.78
Methane,"('NL', 'BE')",0.0,0.0,1.0,509978.0
Methane,"('LT', 'LV')",16018.07132,0.0,1.0,24674.0
Methane,"('AT', 'IT')",0.0,0.0,1.0,419750.0
Methane,"('PL', 'DE')",0.0,0.0,1.0,340034.0
Methane,"('EE', 'LV')",0.0,0.0,1.0,24710.5
Methane,"('FI', 'EE')",0.0,0.0,1.0,11972.82125
Methane,"('DE', 'BE')",0.0,0.0,1.0,144594.75
Methane,"('FR', 'BE')",97339.33746195814,0.0,1.0,98550.0
Methane,"('RU', 'TR')",41355.34035096404,0.0,1.0,349998.5
Methane,"('CH', 'IT')",78900.67621685736,0.0,1.0,233746.0
Methane,"('HU', 'HR')",0.0,0.0,1.0,28251.0
Methane,"('FR', 'CH')",111285.51232796848,29890.512327968478,1.0,81395.0
Methane,"('DE', 'FR')",0.0,0.0,1.0,224006.34
Methane,"('CZ', 'SK')",45801.14828944444,0.0,1.0,454936.0
Methane,"('AT', 'HU')",101992.04730157823,46110.54730157823,1.0,55881.5
Methane,"('TR', 'EL')",676.5478925266734,0.0,1.0,144175.0
Methane,"('CZ', 'PL')",0.0,0.0,1.0,10220.0
Methane,"('LV', 'LT')",0.0,0.0,1.0,23761.5
Methane,"('TN', 'IT')",348471.089434529,0.0,1.0,415406.5
Methane,"('BG', 'MK')",3174.72765343728,0.0,1.0,9993.7
Methane,"('BE', 'FR')",0.0,0.0,1.0,317550.0
Methane,"('RO', 'UA')",0.0,0.0,1.0,44603.0
Methane,"('BY', 'LT')",0.0,0.0,1.0,118771.0
Methane,"('NO', 'UK')",0.0,0.0,1.0,513190.0
Methane,"('MD', 'UA')",0.0,0.0,1.0,29508.9739527
Methane,"('DE', 'PL')",20702.42755937575,0.0,1.0,85227.5
Methane,"('EL', 'AL')",7162.06929252667,0.0,1.0,177791.5
Methane,"('DK', 'DE')",0.0,0.0,1.0,1503.435
Methane,"('LU', 'BE')",0.0,0.0,1.0,15320.34283
Methane,"('RS', 'HU')",0.0,0.0,1.0,89717.0
Methane,"('RU', 'DE')",0.0,0.0,1.0,513190.0
Methane,"('DE', 'LU')",0.0,0.0,1.0,9749.15
Methane,"('RO', 'HU')",0.0,0.0,1.0,18359.5
Methane,"('BG', 'EL')",0.0,0.0,1.0,42997.0
Methane,"('SI', 'HR')",0.0,0.0,1.0,19600.5
Methane,"('SK', 'UA')",0.0,0.0,1.0,102492.0
Methane,"('ES', 'FR')",282539.69954667665,200633.69954667665,1.0,81906.0
Methane,"('TR', 'BG')",31178.46888343728,0.0,1.0,210250.95
Methane,"('EL', 'BG')",0.0,0.0,1.0,23659.3
Methane,"('BE', 'LU')",7059.178429749999,0.0,1.0,15320.34283
Methane,"('HR', 'SI')",0.0,0.0,1.0,2810.5
Methane,"('AT', 'SI')",0.0,0.0,1.0,41062.5
Methane,"('SK', 'HU')",0.0,0.0,1.0,47048.5
Methane,"('IT', 'AT')",0.0,0.0,1.0,70627.5
Methane,"('UA', 'SK')",0.0,0.0,1.0,816067.0
Methane,"('DE', 'AT')",177741.51681408836,52090.99681408836,1.0,125650.52
Methane,"('NL', 'UK')",0.0,0.0,1.0,180456.0
Methane,"('UA', 'HU')",0.0,0.0,1.0,188194.0
Methane,"('NO', 'NL')",91822.82788319234,0.0,1.0,351714.0
Methane,"('RU', 'FI')",18910.099332777783,0.0,1.0,80300.0
Methane,"('UA', 'PL')",0.0,0.0,1.0,49494.0
Methane,"('LT', 'RU')",0.0,0.0,1.0,41683.0
Methane,"('PT', 'ES')",12342.83553737674,0.0,1.0,29200.0
Methane,"('DK', 'SE')",9681.33725,0.0,1.0,14965.0
Methane,"('BG', 'RS')",0.0,0.0,1.0,145317.45
Methane,"('RS', 'BG')",0.0,0.0,1.0,122369.9
