Commodity,Edge,Flow,New Capacity,Switched,Changed Capacity
Methane,"('UA', 'PL')",0.0,0.0,1.0,49494.0
Methane,"('LT', 'LV')",0.0,0.0,1.0,32850.0
Methane,"('DE', 'AT')",109878.46954821475,0.0,1.0,259493.23432
Methane,"('NO', 'DE')",447490.0,0.0,1.0,447490.0
Methane,"('RU', 'BY')",163980.0316280067,0.0,1.0,439277.4999999999
Methane,"('HU', 'HR')",0.0,0.0,1.0,28178.0
Methane,"('SK', 'AT')",0.0,0.0,1.0,623675.5
Methane,"('DE', 'LU')",0.0,0.0,1.0,8760.0
Methane,"('RS', 'BA')",5110.0,0.0,1.0,5110.0
Methane,"('IT', 'AT')",0.0,0.0,1.0,70828.25
Methane,"('BE', 'DE')",0.0,0.0,1.0,197830.0
Methane,"('NL', 'UK')",0.0,0.0,1.0,180456.0
Methane,"('PL', 'SK')",37648.51281850152,0.0,1.0,63488.1
Methane,"('UK', 'IE')",11163.69681353934,0.0,1.0,140525.0
Methane,"('FR', 'DE')",0.0,0.0,1.0,36500.0
Methane,"('UA', 'HU')",0.0,0.0,1.0,30941.05
Methane,"('BY', 'PL')",0.0,0.0,1.0,0.0
Methane,"('BG', 'RO')",6137.368192827977,0.0,1.0,77282.91
Methane,"('DZ', 'MA')",1491.8375189927228,0.0,1.0,11650.8
Methane,"('TN', 'IT')",358668.84920828,0.0,1.0,421210.0
Methane,"('PT', 'ES')",0.0,0.0,1.0,29200.0
Methane,"('DE', 'FR')",0.0,0.0,1.0,224015.73656
Methane,"('NO', 'NL')",301054.5364677586,0.0,1.0,351714.0
Methane,"('PL', 'DE')",0.0,0.0,1.0,32.85
Methane,"('DE', 'DK')",0.0,0.0,1.0,45123.855
Methane,"('DE', 'CH')",9664.846533227756,0.0,1.0,129147.95
Methane,"('DK', 'DE')",0.0,0.0,1.0,5730.5
Methane,"('DE', 'CZ')",76759.17011989796,0.0,1.0,594220.0
Methane,"('DE', 'PL')",0.0,0.0,1.0,119092.2
Methane,"('LU', 'BE')",0.0,0.0,1.0,15320.34283
Methane,"('SK', 'CZ')",0.0,0.0,1.0,144248.0
Methane,"('SK', 'PL')",0.0,0.0,1.0,52743.96
Methane,"('CH', 'DE')",0.0,0.0,1.0,87600.0
Methane,"('IT', 'CH')",17145.233185288194,0.0,1.0,141565.25
Methane,"('FI', 'EE')",0.0,0.0,1.0,11972.82125
Methane,"('CZ', 'PL')",0.0,0.0,1.0,10230.95
Methane,"('RU', 'LV')",0.0,0.0,1.0,0.0
Methane,"('BG', 'RS')",26216.60367714076,0.0,1.0,167815.32
Methane,"('BG', 'TR')",0.0,0.0,1.0,256157.0
Methane,"('EE', 'LV')",0.0,0.0,1.0,24710.5
Methane,"('HU', 'SK')",0.0,0.0,1.0,18571.2
Methane,"('NO', 'UK')",213298.0404862842,0.0,1.0,513190.0
Methane,"('DZ', 'ES')",123041.5,0.0,1.0,123041.5
Methane,"('DE', 'BE')",0.0,0.0,1.0,129940.0
Methane,"('RS', 'HU')",0.0,0.0,1.0,89717.0
Methane,"('ES', 'FR')",0.0,0.0,1.0,81906.0
Methane,"('BE', 'UK')",0.0,0.0,1.0,75153.5
Methane,"('SK', 'HU')",0.0,0.0,1.0,47074.05
Methane,"('DK', 'SE')",6997.265946547327,0.0,1.0,10950.0
Methane,"('HR', 'SI')",0.0,0.0,1.0,2810.5
Methane,"('RO', 'HU')",0.0,0.0,1.0,26780.05
Methane,"('UA', 'SK')",0.0,0.0,1.0,91104.0
Methane,"('BG', 'EL')",0.0,0.0,1.0,43931.4
